index,ln_ches,pi_logratio,dpo_surrogate_loss,len_w,len_l
0,112.8135986328125,-1.9375,2.0720865726470947,22,23
1,-148.8779296875,187.25,-0.0,44,56
2,-224.5576171875,511.4921875,-0.0,26,53
3,-256.177490234375,32.9453125,4.920764215207447e-15,24,26
4,-116.572509765625,201.7734375,-0.0,28,40
5,-119.1552734375,1185.388671875,-0.0,397,450
6,-53.70263671875,-207.69921875,207.69921875,68,60
7,-47.97705078125,-213.6328125,213.6328125,40,26
8,-110.791015625,294.828125,-0.0,30,43
9,-96.85107421875,-9.589843034744263,9.589911460876465,466,448
10,-221.839599609375,69.265625,8.285549044200307e-31,38,39
11,-212.128662109375,132.5390625,-0.0,23,33
12,61.499755859375,-34.78125,34.78125,36,35
13,23.83251953125,114.41015625,-0.0,483,496
14,-563.2288818359375,5299.28125,-0.0,51,360
15,-88.10986328125,-278.19182443618774,278.19183349609375,409,387
16,-227.418701171875,527.02734375,-0.0,37,69
17,-130.8782958984375,408.3983955383301,-0.0,356,350
18,-6.14306640625,-10.1328125,10.132852554321289,23,22
19,-92.309814453125,-369.3984375,369.3984375,48,22
20,-49.080810546875,-1.5703125,1.759262204170227,31,30
21,-142.436279296875,24.25,2.940077695190446e-11,41,41
22,-111.455810546875,75.4765625,1.6632034672296006e-33,28,34
23,-56.5302734375,-297.078125,297.078125,59,41
24,53.9189453125,-307.25,307.25,53,38
25,24.0211181640625,-228.43165254592896,228.43165588378906,488,482
26,-34.794677734375,90.046875,7.818797015423895e-40,35,38
27,-9.57080078125,-148.5234375,148.5234375,50,38
28,-541.83203125,427.0625,-0.0,33,55
29,-172.701416015625,139.7109375,-0.0,40,45
30,18.2451171875,-324.4140625,324.4140625,54,35
31,-18.2978515625,-92.046875,92.046875,32,24
32,-179.765380859375,27.0,1.8795288676126676e-12,27,27
33,-38.147705078125,-32.4296875,32.4296875,26,24
34,-73.26806640625,133.515625,-0.0,29,37
35,-69.930419921875,-80.4453125,80.4453125,43,35
36,-74.530517578125,-749.3969506025314,500.0,303,251
37,-94.867919921875,60.6796875,4.437583718297229e-27,46,52
38,-22.902587890625,-135.7109375,135.7109375,39,30
39,66.265625,-175.03125,175.03125,41,28
40,-119.4111328125,-131.140625,131.140625,40,31
41,-171.767333984375,372.6953125,-0.0,32,55
42,-332.073974609375,170.1796875,-0.0,20,29
43,-66.527099609375,1538.1242104768753,-0.0,344,417
44,-108.7841796875,174.79296875,-0.0,461,447
45,35.150146484375,-179.2734375,179.2734375,33,21
46,-104.9481201171875,-350.81060791015625,350.81060791015625,456,449
47,-101.97607421875,-2611.35546875,500.0,420,264
48,-18.023193359375,-133.6796875,133.6796875,36,30
49,-394.4853515625,844.33203125,-0.0,460,464
50,-58.67626953125,-305.90625,305.90625,393,394
51,12.332763671875,-21.44140625,21.44140625,35,33
52,-28.904296875,-252.703125,252.703125,45,31
53,-83.219970703125,38.2890625,2.351101741632126e-17,30,30
54,-39.3828125,-83.1015625,83.1015625,35,30
55,-329.6416015625,342.125,-0.0,32,52
56,-101.822998046875,-8.2578125,8.258071899414062,31,31
57,-18.48974609375,-184.25,184.25,36,27
58,-200.205078125,-23.2578125,23.2578125,38,38
59,-14.957275390625,-322.6328125,322.6328125,50,30
60,-21.450439453125,106.623046875,-0.0,55,64
61,-147.3798828125,-830.80859375,500.0,155,101
62,-267.23046875,37.3125,6.242910753950011e-17,33,34
